City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
355,Karcsa,HU,48.3113,21.8054,66.7,69,51,2.3,broken clouds
356,Asfi,MA,32.2994,-9.2372,70.48,88,89,13.2,overcast clouds
357,Aguimes,ES,27.9054,-15.4461,68.63,78,75,20.71,broken clouds
358,Dhanera,IN,24.5167,72.0167,79.92,84,100,16.17,overcast clouds
359,Havre-Saint-Pierre,CA,50.2334,-63.5986,56.07,92,54,3.6,broken clouds
360,Bud,US,39.447,-86.1758,75.97,87,0,1.34,clear sky
361,Grindavik,IS,63.8424,-22.4338,50.56,100,0,11.5,clear sky
362,Bairiki,KI,1.3292,172.9752,82.29,68,77,5.26,broken clouds
363,Marshall,US,34.3834,-86.3333,79.12,78,1,0.0,clear sky
364,Mahebourg,MU,-20.4081,57.7,68.25,91,100,21.88,moderate rain
365,Cururupu,BR,-1.8283,-44.8683,75.02,90,53,2.51,broken clouds
366,Katsuura,JP,35.1333,140.3,87.91,73,100,18.1,moderate rain
367,Celina,US,40.5489,-84.5702,74.53,91,0,4.09,clear sky
368,Noumea,NC,-22.2763,166.4572,77.0,98,11,14.61,few clouds
369,Dwarka,IN,22.2394,68.9678,82.89,83,100,28.25,overcast clouds
370,Grong,NO,64.4654,12.3149,63.7,68,52,5.26,broken clouds
371,Kaili,ID,-3.4626,120.2147,79.77,59,43,4.32,scattered clouds
372,Kidal,ML,18.4411,1.4078,83.16,50,80,3.85,broken clouds
373,Durban,ZA,-29.8579,31.0292,56.01,49,0,5.86,clear sky
374,Kuching,MY,1.55,110.3333,88.02,70,20,3.44,few clouds
375,Bhatkal,IN,13.9667,74.5667,80.11,83,100,12.64,overcast clouds
376,Mukhen,RU,48.1,136.1,97.05,38,97,3.83,overcast clouds
377,Usinsk,RU,65.9939,57.5281,45.39,87,100,16.46,overcast clouds
378,Doha,QA,25.2867,51.5333,96.78,63,100,4.61,haze
379,Dolinsk,RU,47.35,142.8,84.06,62,75,5.14,broken clouds
380,Chamonix-Mont-Blanc,FR,45.9238,6.8693,59.9,95,98,3.8,light rain
381,Ambovombe,MG,-25.1667,46.0833,65.55,77,54,17.05,light rain
382,Juneau,US,58.3019,-134.4197,60.22,93,71,0.43,light rain
383,Nurota,UZ,40.5614,65.6886,81.68,19,0,20.24,clear sky
384,Teshie,GH,5.5836,-0.1072,75.18,85,98,10.4,overcast clouds
385,Diffa,NE,13.3154,12.6113,75.18,86,100,12.17,overcast clouds
386,Alingsas,SE,57.9303,12.5335,65.44,99,78,3.96,broken clouds
387,Arman,RU,59.7,150.1667,60.89,61,100,4.74,overcast clouds
388,Westport,US,41.1415,-73.3579,77.76,84,74,1.99,broken clouds
389,Covasint,RO,46.2,21.6,71.87,56,41,6.17,scattered clouds
390,Leh,IN,34.1667,77.5833,67.42,44,99,0.98,overcast clouds
391,Evensk,RU,61.95,159.2333,60.78,46,69,19.04,broken clouds
392,Bembereke,BJ,10.2283,2.6634,69.39,97,100,5.35,light rain
393,Matara,LK,5.9485,80.5353,82.36,80,96,11.77,overcast clouds
394,Mayo,US,38.8876,-76.5119,79.97,90,0,1.01,clear sky
395,Katangli,RU,51.7102,143.2326,72.36,80,98,1.57,overcast clouds
396,Saint-Francois,FR,46.4154,3.9054,63.18,97,75,2.3,broken clouds
397,Dayong,CN,25.0209,118.2898,99.32,46,12,3.42,light rain
398,Windhoek,NA,-22.5594,17.0832,42.12,56,0,4.32,clear sky
399,Aswan,EG,24.0934,32.907,85.77,27,93,9.91,overcast clouds
400,Ilovlya,RU,49.3033,43.9796,70.9,40,21,5.14,few clouds
401,Yerbogachen,RU,61.2767,108.0108,86.68,32,2,11.03,clear sky
402,Rawson,AR,-43.3002,-65.1023,40.62,69,20,10.13,few clouds
403,Hanzhong,CN,33.0728,107.0303,83.91,60,19,2.15,few clouds
404,Toronto,CA,43.7001,-79.4163,70.56,83,0,1.01,clear sky
405,Lorengau,PG,-2.0226,147.2712,84.99,71,8,6.06,light rain
406,Dniprovka,UA,47.4295,34.618,72.7,71,0,8.9,clear sky
407,Hede,CN,33.7681,120.2517,77.36,93,100,23.0,light rain
408,Chikola,RU,43.1906,43.9209,56.25,96,100,1.92,overcast clouds
409,Kimbe,PG,-5.5502,150.1429,83.14,82,62,4.05,light rain
410,Jalu,LY,29.0331,21.5482,78.96,46,0,5.68,clear sky
411,Huarmey,PE,-10.0681,-78.1522,65.26,87,34,9.93,scattered clouds
412,Disraeli,CA,45.9001,-71.3491,58.21,84,54,2.53,broken clouds
413,Caravelas,BR,-17.7125,-39.2481,70.11,91,10,5.79,clear sky
414,Gawler,AU,-34.6,138.7333,57.51,80,49,18.19,scattered clouds
415,Bathsheba,BB,13.2167,-59.5167,79.65,78,32,14.94,scattered clouds
416,Newport,GB,51.5877,-2.9984,60.82,90,80,8.97,broken clouds
417,Gizo,SB,-8.103,156.8419,83.52,71,88,6.17,light rain
418,Mahadday Weyne,SO,2.9726,45.5347,73.6,82,97,12.39,overcast clouds
419,Hofn,IS,64.2539,-15.2082,53.94,83,100,6.78,overcast clouds
420,Chumikan,RU,54.7183,135.315,78.3,50,50,5.59,scattered clouds
421,Wakkanai,JP,45.4094,141.6739,76.03,82,5,5.35,clear sky
422,Canar,EC,-2.55,-78.9333,45.75,93,49,7.4,scattered clouds
